Timestamp,Svr_detect,Svr_connect,Ss_request,Ss_Established
20210101_0000-0010,0,0,5,8
20210101_0010-0020,0,0,4,14
20210101_0020-0030,0,0,1,10
20210101_0030-0040,0,0,1,14
20210101_0040-0050,0,0,2,9
20210101_0050-0100,0,0,5,8
20210101_0100-0110,0,0,3,7
20210101_0110-0120,0,0,2,9
20210101_0120-0130,0,0,1,9
20210101_0130-0140,0,0,2,9
20210101_0140-0150,0,0,4,3
20210101_0150-0200,0,0,3,6
20210101_0200-0210,0,0,2,5
20210101_0210-0220,0,0,1,10
20210101_0220-0230,0,0,2,10
20210101_0230-0240,0,0,4,6
20210101_0240-0250,0,0,5,4
20210101_0250-0300,0,0,4,8
20210101_0300-0310,0,0,1,7
20210101_0310-0320,0,0,0,8
20210101_0320-0330,0,0,3,4
20210101_0330-0340,0,0,7,6
20210101_0340-0350,0,0,6,2
20210101_0350-0400,0,0,2,7
20210101_0400-0410,0,0,2,3
20210101_0410-0420,0,0,3,2
20210101_0420-0430,0,0,5,2
20210101_0430-0440,0,0,3,5
20210101_0440-0450,0,0,2,3
20210101_0450-0500,0,0,1,4
20210101_0500-0510,0,0,2,5
20210101_0510-0520,0,0,4,7
20210101_0520-0530,0,0,3,3
20210101_0530-0540,0,0,2,4
20210101_0540-0550,0,0,1,4
20210101_0550-0600,0,0,2,7
20210101_0600-0610,0,0,4,5
20210101_0610-0620,0,0,5,6
20210101_0620-0630,0,0,4,4
20210101_0630-0640,0,0,1,5
20210101_0640-0650,0,0,1,5
20210101_0650-0700,0,0,2,8
20210101_0700-0710,0,0,5,4
20210101_0710-0720,0,0,5,4
20210101_0720-0730,0,0,2,4
20210101_0730-0740,0,0,1,6
20210101_0740-0750,0,0,3,2
20210101_0750-0800,0,0,5,5
20210101_0800-0810,0,0,3,5
20210101_0810-0820,0,0,2,9
20210101_0820-0830,0,0,1,8
20210101_0830-0840,0,0,2,12
20210101_0840-0850,0,0,5,7
20210101_0850-0900,0,0,4,10
20210101_0900-0910,0,0,3,10
20210101_0910-0920,0,0,1,12
20210101_0920-0930,0,0,3,6
20210101_0930-0940,0,0,3,4
20210101_0940-0950,0,0,5,4
20210101_0950-1000,0,0,4,4
20210101_1000-1010,0,0,1,4
20210101_1010-1020,0,0,0,8
20210101_1020-1030,0,0,2,13
20210101_1030-1040,0,0,5,18
20210101_1040-1050,0,0,4,18
20210101_1050-1100,0,0,2,15
20210101_1100-1110,0,0,1,16
20210101_1110-1120,0,0,2,23
20210101_1120-1130,0,0,5,29
20210101_1130-1140,0,0,3,35
20210101_1140-1150,0,0,2,24
20210101_1150-1200,0,0,1,15
20210101_1200-1210,0,0,2,8
20210101_1210-1220,0,0,4,9
20210101_1220-1230,0,0,3,11
20210101_1230-1240,0,0,3,11
20210101_1240-1250,0,0,2,11
20210101_1250-1300,0,0,3,12
20210101_1300-1310,0,0,3,10
20210101_1310-1320,0,0,6,17
20210101_1320-1330,0,0,5,14
20210101_1330-1340,0,0,1,21
20210101_1340-1350,0,0,0,16
20210101_1350-1400,0,0,2,20
20210101_1400-1410,0,0,5,22
20210101_1410-1420,0,0,4,20
20210101_1420-1430,0,0,1,15
20210101_1430-1440,0,0,1,5
20210101_1440-1450,0,0,2,7
20210101_1450-1500,0,0,5,12
20210101_1500-1510,0,0,3,24
20210101_1510-1520,0,0,3,25
20210101_1520-1530,0,0,2,21
20210101_1530-1540,0,0,2,13
20210101_1540-1550,0,0,3,11
20210101_1550-1600,0,0,3,7
20210101_1600-1610,0,0,3,7
20210101_1610-1620,0,0,1,7
20210101_1620-1630,0,0,3,10
20210101_1630-1640,0,0,4,14
20210101_1640-1650,0,0,6,16
20210101_1650-1700,0,0,7,12
20210101_1700-1710,0,0,3,4
20210101_1710-1720,0,0,2,5
20210101_1720-1730,0,0,1,4
20210101_1730-1740,0,0,4,8
20210101_1740-1750,0,0,4,9
20210101_1750-1800,0,0,2,12
20210101_1800-1810,0,0,1,16
20210101_1810-1820,0,0,1,14
20210101_1820-1830,0,0,3,12
20210101_1830-1840,0,0,3,9
20210101_1840-1850,0,0,3,11
20210101_1850-1900,0,0,1,18
20210101_1900-1910,0,0,1,16
20210101_1910-1920,0,0,2,11
20210101_1920-1930,0,0,3,6
20210101_1930-1940,0,0,4,9
20210101_1940-1950,0,0,2,11
20210101_1950-2000,0,0,2,15
20210101_2000-2010,0,0,2,13
20210101_2010-2020,0,0,4,13
20210101_2020-2030,0,0,4,8
20210101_2030-2040,0,0,1,13
20210101_2040-2050,0,0,0,12
20210101_2050-2100,0,0,1,8
20210101_2100-2110,0,0,4,5
20210101_2110-2120,0,0,4,4
20210101_2120-2130,0,0,2,3
20210101_2130-2140,0,0,1,8
20210101_2140-2150,0,0,1,9
20210101_2150-2200,0,0,3,13
20210101_2200-2210,0,0,3,10
20210101_2210-2220,0,0,3,15
20210101_2220-2230,0,0,1,14
20210101_2230-2240,0,0,1,16
20210101_2240-2250,0,0,2,11
20210101_2250-2300,0,0,3,6
20210101_2300-2310,0,0,4,5
20210101_2310-2320,0,0,1,4
