Timestamp,Prediction
20180101_0000-0005,0.0
20180101_0005-0010,1.0
20180101_0010-0015,1.0
20180101_0015-0020,1.0
20180101_0020-0025,1.0
20180101_0025-0030,1.0
20180101_0030-0035,1.0
20180101_0035-0040,1.0
20180101_0040-0045,1.0
20180101_0045-0050,1.0
20180101_0050-0055,1.0
20180101_0055-0100,1.0
20180101_0100-0105,1.0
20180101_0105-0110,1.0
20180101_0110-0115,1.0
20180101_0115-0120,1.0
20180101_0120-0125,1.0
20180101_0125-0130,1.0
20180101_0130-0135,1.0
20180101_0135-0140,1.0
20180101_0140-0145,1.0
20180101_0145-0150,1.0
20180101_0150-0155,1.0
20180101_0155-0200,1.0
20180101_0200-0205,1.0
20180101_0205-0210,1.0
20180101_0210-0215,1.0
20180101_0215-0220,1.0
20180101_0220-0225,1.0
20180101_0225-0230,1.0
20180101_0230-0235,1.0
20180101_0235-0240,1.0
20180101_0240-0245,1.0
20180101_0245-0250,1.0
20180101_0250-0255,1.0
20180101_0255-0300,1.0
20180101_0300-0305,1.0
20180101_0305-0310,1.0
20180101_0310-0315,1.0
20180101_0315-0320,1.0
20180101_0320-0325,1.0
20180101_0325-0330,1.0
20180101_0330-0335,1.0
20180101_0335-0340,1.0
20180101_0340-0345,1.0
20180101_0345-0350,1.0
20180101_0350-0355,1.0
20180101_0355-0400,1.0
20180101_0400-0405,1.0
20180101_0405-0410,1.0
20180101_0410-0415,1.0
20180101_0415-0420,1.0
20180101_0420-0425,1.0
20180101_0425-0430,1.0
20180101_0430-0435,1.0
20180101_0435-0440,1.0
20180101_0440-0445,1.0
20180101_0445-0450,1.0
20180101_0450-0455,1.0
20180101_0455-0500,1.0
20180101_0500-0505,1.0
20180101_0505-0510,1.0
20180101_0510-0515,1.0
20180101_0515-0520,1.0
20180101_0520-0525,1.0
20180101_0525-0530,1.0
20180101_0530-0535,1.0
20180101_0535-0540,1.0
20180101_0540-0545,1.0
20180101_0545-0550,1.0
20180101_0550-0555,1.0
20180101_0555-0600,1.0
20180101_0600-0605,1.0
20180101_0605-0610,1.0
20180101_0610-0615,1.0
20180101_0615-0620,1.0
20180101_0620-0625,1.0
20180101_0625-0630,1.0
20180101_0630-0635,1.0
20180101_0635-0640,1.0
20180101_0640-0645,1.0
20180101_0645-0650,1.0
20180101_0650-0655,1.0
20180101_0655-0700,1.0
20180101_0700-0705,1.0
20180101_0705-0710,1.0
20180101_0710-0715,1.0
20180101_0715-0720,1.0
20180101_0720-0725,1.0
20180101_0725-0730,1.0
20180101_0730-0735,1.0
20180101_0735-0740,1.0
20180101_0740-0745,1.0
20180101_0745-0750,1.0
20180101_0750-0755,1.0
20180101_0755-0800,1.0
20180101_0800-0805,1.0
20180101_0805-0810,1.0
20180101_0810-0815,1.0
20180101_0815-0820,1.0
20180101_0820-0825,1.0
20180101_0825-0830,1.0
20180101_0830-0835,1.0
